char_game_id,char_name,platformID,level,game_id,clan_id,is_admin,last_login_date,time_played
352,Garret,D016E285B4F004D4,600,1,366,TRUE,4/28/23 23:35,0
79160,Rick Culper,5D370BF854BCB1AA,600,1,444,FALSE,5/1/23 0:46,0
370,Groth,A6DCBD6686C46E6E,456,1,,FALSE,4/1/23 1:55,0
378,Nuggey,6236A069A519F340,600,1,421,FALSE,4/21/23 8:55,0
383,Cheez,13C4BC69492F33A0,600,1,421,FALSE,4/2/23 16:54,0
390,Vagrant,A88B243E4F2617B3,596,1,,FALSE,5/1/23 1:09,0
451,Cliff Booth,207AD2F38BECF4AF,600,1,421,FALSE,4/1/23 18:47,0
387,Itty Bitty Jenn,46B9F4FAB36C12EF,600,1,366,TRUE,5/1/23 0:58,0
105700,Bia,B705C119B6B52DFD,600,1,366,TRUE,4/24/23 1:58,0
448,Poke,C514BD733BA40364,600,1,421,FALSE,4/3/23 2:00,0
40141,Relkor,CCC259AACC062D44,600,1,444,FALSE,5/1/23 1:26,0
653,Kudu Beast,791D5E1BC9335F1F,154,1,6419,FALSE,3/20/23 22:28,0
822,Arty,E5B05210CAB24ABD,600,1,19054,FALSE,5/1/23 0:23,0
978,Katnya,281D755E891EE86B,600,1,3746,FALSE,4/19/23 18:51,0
1445,KamiKi,5A472D60D51F383D,600,1,1940,FALSE,3/27/23 3:29,0
1588,Bruhaha,3DB51C2C33E63D86,600,1,444,FALSE,4/30/23 21:21,0
1820,MrSm0kin,F7A227328364CF55,8,1,,FALSE,3/18/23 0:34,0
2071,Kandi,9729E1D31095EEF0,600,1,3746,FALSE,5/1/23 0:59,0
2269,Denni,17230D7E8FBFF76A,600,1,43278,FALSE,5/1/23 0:51,0
2925,OIWA,C8FBE8C7D0589920,600,1,444,FALSE,4/11/23 3:31,0
3639,Tartarian,FD09A9CA61772D2F,276,1,31257,FALSE,4/25/23 3:34,0
3593,Eff,F424C311CD63BDD7,585,1,3746,FALSE,5/1/23 2:14,0
3608,Daigan,84E956DB15FFEF62,600,1,366,TRUE,4/30/23 23:19,0
4869,1337_5N34k,5D9347C806814FD2,600,1,366,TRUE,4/30/23 4:27,0
5282,Phornax,F78EFE93F52683FB,600,1,8270,FALSE,4/22/23 13:26,0
5774,marie-king71,32A1A89CE8D38DAD,295,1,,FALSE,4/25/23 5:35,0
6215,Blood4Reaper,E1DCE066062AB05F,144,1,6419,FALSE,3/20/23 22:59,0
6403,Raina,B511381695B9977C,600,1,6404,FALSE,4/30/23 23:00,0
6451,Lanavar,2B3B1B450339D6A7,600,1,8270,FALSE,4/23/23 15:45,0
6569,Knepvin,83ACECE62400D37A,600,1,421,FALSE,4/2/23 6:43,0
6763,traem,8BABB434BB621469,252,1,42353,FALSE,4/9/23 15:54,0
7387,XComDefib,F5A73C1F57EB4E77,592,1,1940,FALSE,3/24/23 1:28,0
8183,storm,B588DAE597EEA1EC,2,1,,FALSE,3/18/23 20:33,0
9300,RAZER,679EB44F1DB2DF5A,316,1,,FALSE,3/19/23 0:36,0
12911,Knaldrødehævner,412FA9B045FA27BD,170,1,421,FALSE,3/19/23 15:28,0
14896,Punk Hazard,DBDEC9950E9775B5,600,1,108504,FALSE,4/29/23 7:18,0
15274,Dark,7C3978BA7A7D0AD3,14,1,,FALSE,3/19/23 23:19,0
15837,Shady,89AE3F6B406DB754,380,1,17701,FALSE,4/11/23 2:52,0
17325,Leeryanna,64800A282F20419E,571,1,17701,FALSE,4/11/23 9:35,0
17889,Delf,BEC797ED254A5F1A,7,1,,FALSE,3/20/23 3:25,0
18155,Schultzy101,6E3A9E631F18F2FB,10,1,,FALSE,3/20/23 4:18,0
18506,Captain Blackbeard,69E48E9F1A123D68,189,1,18798,FALSE,4/4/23 4:53,0
18661,Frax,4538FE5D5D8C45A7,600,1,42713,FALSE,5/1/23 0:38,0
18757,MASTER PLO,E2E49A1D064CC7CB,297,1,18798,FALSE,4/15/23 3:41,0
24917,Odyn,BC4F54B7AAF8968E,31,1,,FALSE,3/22/23 21:28,0
